oppLambda x selfLambda
0 -0.100 0.6706
-1 -1.049 0.0307
0 -0.040 -0.7374
0 0.090 0.1995
1 1.238 0.0427
-1 -0.949 -0.1040
1 0.987 -0.3589
1 0.949 2.1801
-1 -1.156 0.3323
0 -0.122 0.0716
1 1.115 1.0696
-1 -1.039 -0.3650
1 1.209 0.0787
0 0.035 -0.5258
-1 -1.122 -0.1396
0 0.205 0.1274
-1 -0.898 0.2660
-1 -1.070 0.1046
1 0.921 0.0240
1 0.904 -1.4018
0 -0.114 0.1800
-1 -0.976 -0.0349
1 0.926 0.8579
-1 -0.898 -0.1494
-1 -1.135 -0.1370
0 -0.185 0.1447
0 -0.248 -0.0177
0 -0.134 0.9769
1 0.923 1.3938
1 0.788 0.9094
0 -0.157 0.1883
1 0.983 0.1326
0 -0.246 0.2541
0 0.188 0.8268
1 1.063 0.1487
-1 -1.060 -0.3686
0 -0.112 0.0863
-1 -0.830 0.0813
-1 -1.081 -0.0113
-1 -0.770 0.6562
0 0.119 -0.2453
0 0.029 -0.1693
-1 -1.247 0.1684
1 1.240 0.0972
-1 -0.964 -0.2423
0 -0.237 1.1482
1 0.898 0.4705
1 1.229 0.1871
0 -0.097 0.3570
1 0.909 -0.0587
0 -0.138 -0.1220
-1 -1.198 0.1857
1 1.030 0.5302
1 1.104 -0.0618
-1 -1.139 0.9826
-1 -0.802 -1.0752
0 0.152 0.5316
-1 -1.189 0.5172
1 1.213 0.0028
1 0.976 0.5230
-1 -1.124 0.7640
1 0.782 -0.3800
-1 -1.139 -0.3271
0 -0.054 0.1089
-1 -1.219 0.0650
0 0.012 -0.5475
1 1.017 0.0061
0 -0.155 0.4603
1 0.906 -0.3193
0 0.224 0.1583
1 1.164 0.4393
-1 -1.157 -0.3077
-1 -0.753 0.1171
-1 -1.052 -0.4748
1 0.996 0.3479
1 0.837 -0.0415
0 -0.096 -0.0318
-1 -0.927 -0.0406
-1 -1.159 -0.8385
-1 -1.029 -0.8122
1 1.144 -0.2448
0 -0.006 -0.4936
1 0.858 -0.3056
1 0.840 -0.6778
0 0.160 -0.3570
0 0.031 -0.3415
1 1.054 0.2051
-1 -0.784 -0.4842
-1 -0.774 -0.5674
0 0.018 -0.0528
0 -0.165 -0.1738
